"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"Last 30 Days",,"noun","preferred",,,,"Derniers 30 jours",,"noun","preferred",,,,"Letzte 30 Tage",,"noun","preferred",,,,"Últimos 30 dias",,"noun","preferred",,,,"Últimos 30 días",,"noun","preferred",,,,"Yes"
"Last 7 Days",,"noun","preferred",,,,"Derniers 7 jours",,"noun","preferred",,,,"Letzte 7 Tage",,"noun","preferred",,,,"Últimos 7 dias",,"noun","preferred",,,,"Últimos 7 días",,"noun","preferred",,,,"Yes"
"Last 90 Days",,"noun","preferred",,,,"Derniers 90 jours",,"noun","preferred",,,,"Letzte 90 Tage",,"noun","preferred",,,,"Últimos 90 dias",,"noun","preferred",,,,"Últimos 90 días",,"noun","preferred",,,,"Yes"
"Last Backup",,"noun","preferred",,,,"Dernière sauvegarde",,"noun","preferred",,,,"Letzte Sicherung",,"noun","preferred",,,,"Último backup",,"noun","preferred",,,,"Último backup",,"noun","preferred",,,,"Yes"
"Last Backup (cfg)",,"noun","preferred",,,,"Dernière sauvegarde (cfg)",,"noun","preferred",,,,"Letzte Sicherung (cfg)",,"noun","preferred",,,,"Último backup (cfg)",,"noun","preferred",,,,"Último backup (cfg)",,"noun","preferred",,,,"Yes"
"Last Backup (cfg) Weekday",,"noun","preferred",,,,"Jour de la semaine de la dernière sauvegarde (cfg)",,"noun","preferred",,,,"Wochentag der letzten Sicherung (cfg)",,"noun","preferred",,,,"Dia da semana do último backup (cfg)",,"noun","preferred",,,,"Día de la semana del último backup (cfg)",,"noun","preferred",,,,"Yes"
"Last Backup (DB)",,"noun","preferred",,,,"Dernière sauvegarde (DB)",,"noun","preferred",,,,"Letzte Sicherung (DB)",,"noun","preferred",,,,"Último backup (DB)",,"noun","preferred",,,,"Último backup (DB)",,"noun","preferred",,,,"Yes"
"Last Backup Date",,"noun","preferred",,,,"Date de la dernière sauvegarde",,"noun","preferred",,,,"Datum der letzten Sicherung",,"noun","preferred",,,,"Data do último backup",,"noun","preferred",,,,"Fecha del último backup",,"noun","preferred",,,,"Yes"
"Last Backup Details",,"noun","preferred",,,,"Détails de la dernière sauvegarde",,"noun","preferred",,,,"Details der letzten Sicherung",,"noun","preferred",,,,"Detalhes do último backup",,"noun","preferred",,,,"Detalles del último backup",,"noun","preferred",,,,"Yes"
"Last Backup File Size",,"noun","preferred",,,,"Taille de fichier de la dernière sauvegarde",,"noun","preferred",,,,"Dateigröße der letzten Sicherung",,"noun","preferred",,,,"Tamanho do arquivo do último backup",,"noun","preferred",,,,"Tamaño de archivo del último backup",,"noun","preferred",,,,"Yes"
"Last Backup List Count",,"noun","preferred",,,,"Nombre d'éléments de la dernière sauvegarde",,"noun","preferred",,,,"Anzahl der letzten Sicherungsliste",,"noun","preferred",,,,"Total de arquivos do último backup",,"noun","preferred",,,,"Cantidad de elementos del último backup",,"noun","preferred",,,,"Yes"
"Last backup received (new > old)",,"noun","preferred",,,,"Dernière sauvegarde reçue (récent > ancien)",,"noun","preferred",,,,"Letzte Sicherung empfangen (neu > alt)",,"noun","preferred",,,,"Último backup recebido (recente > antigo)",,"noun","preferred",,,,"Última copia de seguridad recibida (nuevo > antiguo)",,"noun","preferred",,,,"Yes"
"Last backup received (new>old)",,"noun","preferred",,,,"Dernière sauvegarde reçue (nouveau>ancien)",,"noun","preferred",,,,"Letzte Sicherung erhalten (neu>alt)",,"noun","preferred",,,,"Último backup recebido (recente>antigo)",,"noun","preferred",,,,"Último backup recibido (nuevo>antiguo)",,"noun","preferred",,,,"Yes"
"Last Backup Size",,"noun","preferred",,,,"Taille de la dernière sauvegarde",,"noun","preferred",,,,"Größe der letzten Sicherung",,"noun","preferred",,,,"Tamanho do último backup",,"noun","preferred",,,,"Tamaño del último backup",,"noun","preferred",,,,"Yes"
"Last Backup Status",,"noun","preferred",,,,"Statut de la dernière sauvegarde",,"noun","preferred",,,,"Status der letzten Sicherung",,"noun","preferred",,,,"Status do último backup",,"noun","preferred",,,,"Estado del último backup",,"noun","preferred",,,,"Yes"
"Last Backup Storage Size",,"noun","preferred",,,,"Taille de stockage de la dernière sauvegarde",,"noun","preferred",,,,"Speichergröße der letzten Sicherung",,"noun","preferred",,,,"Tamanho de armazenamento do último backup",,"noun","preferred",,,,"Tamaño de almacenamiento del último backup",,"noun","preferred",,,,"Yes"
"Last checked",,"noun","preferred",,,,"Dernière vérification",,"noun","preferred",,,,"Zuletzt geprüft",,"noun","preferred",,,,"Última verificação",,"noun","preferred",,,,"Última verificación",,"noun","preferred",,,,"Yes"
"Last Hour",,"noun","preferred",,,,"Dernière heure",,"noun","preferred",,,,"Letzte Stunde",,"noun","preferred",,,,"Última hora",,"noun","preferred",,,,"Última hora",,"noun","preferred",,,,"Yes"
"Last Login",,"noun","preferred",,,,"Dernière connexion",,"noun","preferred",,,,"Letzte Anmeldung",,"noun","preferred",,,,"Último login",,"noun","preferred",,,,"Último inicio de sesión",,"noun","preferred",,,,"Yes"
"Last modified",,"noun","preferred",,,,"Dernière modification",,"noun","preferred",,,,"Zuletzt geändert",,"noun","preferred",,,,"Última modificação",,"noun","preferred",,,,"Última modificación",,"noun","preferred",,,,"Yes"
"Last month",,"noun","preferred",,,,"Dernier mois",,"noun","preferred",,,,"Letzter Monat",,"noun","preferred",,,,"Último mês",,"noun","preferred",,,,"Último mes",,"noun","preferred",,,,"Yes"
"Last notification",,"noun","preferred",,,,"Dernière notification",,"noun","preferred",,,,"Letzte Benachrichtigung",,"noun","preferred",,,,"Última notificação",,"noun","preferred",,,,"Última notificación",,"noun","preferred",,,,"Yes"
"Last quarter",,"noun","preferred",,,,"Dernier trimestre",,"noun","preferred",,,,"Letztes Quartal",,"noun","preferred",,,,"Último trimestre",,"noun","preferred",,,,"Último trimestre",,"noun","preferred",,,,"Yes"
"Last Seen",,"noun","preferred",,,,"Dernière vue",,"noun","preferred",,,,"Zuletzt gesehen",,"noun","preferred",,,,"Visto pela Última Vez",,"noun","preferred",,,,"Visto por última vez",,"noun","preferred",,,,"Yes"
"Last semester",,"noun","preferred",,,,"Dernier semestre",,"noun","preferred",,,,"Letztes Semester",,"noun","preferred",,,,"Último semestre",,"noun","preferred",,,,"Último semestre",,"noun","preferred",,,,"Yes"
"Last Update",,"noun","preferred",,,,"Dernière mise à jour",,"noun","preferred",,,,"Letzte Aktualisierung",,"noun","preferred",,,,"Última atualização",,"noun","preferred",,,,"Última actualización",,"noun","preferred",,,,"Yes"
"Last week",,"noun","preferred",,,,"Semaine dernière",,"noun","preferred",,,,"Letzte Woche",,"noun","preferred",,,,"Última semana",,"noun","preferred",,,,"Última semana",,"noun","preferred",,,,"Yes"
"Last Year",,"noun","preferred",,,,"L'année dernière",,"noun","preferred",,,,"Letztes Jahr",,"noun","preferred",,,,"Último ano",,"noun","preferred",,,,"El año pasado",,"noun","preferred",,,,"Yes"
"Leave empty to use stored hostname",,"noun","preferred",,,,"Laisser vide pour utiliser le nom d'hôte stocké",,"noun","preferred",,,,"Leer lassen, um gespeicherten Hostname zu verwenden",,"noun","preferred",,,,"Deixar vazio para usar o nome do host armazenado",,"noun","preferred",,,,"Dejar vacío para usar el nombre de host almacenado",,"noun","preferred",,,,"Yes"
"Leave empty to use stored password",,"noun","preferred",,,,"Laisser vide pour utiliser le mot de passe stocké",,"noun","preferred",,,,"Leer lassen, um gespeichertes Passwort zu verwenden",,"noun","preferred",,,,"Deixar vazio para usar a senha armazenada",,"noun","preferred",,,,"Dejar vacío para usar la contraseña almacenada",,"noun","preferred",,,,"Yes"
"Light",,"noun","preferred",,,,"Clair",,"noun","preferred",,,,"Hell",,"noun","preferred",,,,"Claro",,"noun","preferred",,,,"Claro",,"noun","preferred",,,,"Yes"
"Lines to Show",,"noun","preferred",,,,"Lignes à afficher",,"noun","preferred",,,,"Anzuzeigende Zeilen",,"noun","preferred",,,,"Linhas para mostrar",,"noun","preferred",,,,"Líneas a mostrar",,"noun","preferred",,,,"Yes"
"Locked",,"noun","preferred",,,,"Verrouillé",,"noun","preferred",,,,"Gesperrt",,"noun","preferred",,,,"Bloqueado",,"noun","preferred",,,,"Bloqueado",,"noun","preferred",,,,"Yes"
"Log in",,"noun","preferred",,,,"Se connecter",,"noun","preferred",,,,"Anmelden",,"noun","preferred",,,,"Entrar",,"noun","preferred",,,,"Iniciar sesión",,"noun","preferred",,,,"Yes"
"Log Retention",,"noun","preferred",,,,"Rétention des journaux",,"noun","preferred",,,,"Protokollaufbewahrung",,"noun","preferred",,,,"Retenção de logs",,"noun","preferred",,,,"Retención de logs",,"noun","preferred",,,,"Yes"
"Log Summary",,"noun","preferred",,,,"Résumé du journal",,"noun","preferred",,,,"Protokollzusammenfassung",,"noun","preferred",,,,"Resumo do log",,"noun","preferred",,,,"Resumen del registro",,"noun","preferred",,,,"Yes"
"Log text messages (warnings and errors)",,"noun","preferred",,,,"Messages texte du journal (avertissements et erreurs)",,"noun","preferred",,,,"Protokolltextnachrichten (Warnungen und Fehler)",,"noun","preferred",,,,"Mensagens de texto do log (avisos e erros)",,"noun","preferred",,,,"Mensajes de texto del log (advertencias y errores)",,"noun","preferred",,,,"Yes"
"Logged out successfully",,"noun","preferred",,,,"Déconnecté avec succès",,"noun","preferred",,,,"Erfolgreich abgemeldet",,"noun","preferred",,,,"Sessão encerrada com sucesso",,"noun","preferred",,,,"Sesión cerrada exitosamente",,"noun","preferred",,,,"Yes"
"Login",,"noun","preferred",,,,"Connexion",,"noun","preferred",,,,"Anmelden",,"noun","preferred",,,,"Login",,"noun","preferred",,,,"Iniciar sesión",,"noun","preferred",,,,"Yes"
"Login failed",,"noun","preferred",,,,"Connexion échouée",,"noun","preferred",,,,"Anmeldung fehlgeschlagen",,"noun","preferred",,,,"Falha no login",,"noun","preferred",,,,"Inicio de sesión fallido",,"noun","preferred",,,,"Yes"
"Login successful",,"noun","preferred",,,,"Connexion réussie",,"noun","preferred",,,,"Anmeldung erfolgreich",,"noun","preferred",,,,"Login bem-sucedido",,"noun","preferred",,,,"Inicio de sesión exitoso",,"noun","preferred",,,,"Yes"
"Logout",,"noun","preferred",,,,"Déconnexion",,"noun","preferred",,,,"Abmelden",,"noun","preferred",,,,"Sair",,"noun","preferred",,,,"Cerrar sesión",,"noun","preferred",,,,"Yes"
"Logs",,"noun","preferred",,,,"Journaux",,"noun","preferred",,,,"Protokolle",,"noun","preferred",,,,"Logs",,"noun","preferred",,,,"Logs",,"noun","preferred",,,,"Yes"
"Logs copied to clipboard",,"noun","preferred",,,,"Journaux copiés dans le presse-papiers",,"noun","preferred",,,,"Protokolle in die Zwischenablage kopiert",,"noun","preferred",,,,"Logs copiados para a área de transferência",,"noun","preferred",,,,"Logs copiados al portapapeles",,"noun","preferred",,,,"Yes"
"Logs exported successfully",,"noun","preferred",,,,"Journaux exportés avec succès",,"noun","preferred",,,,"Protokolle erfolgreich exportiert",,"noun","preferred",,,,"Logs exportados com sucesso",,"noun","preferred",,,,"Logs exportados exitosamente",,"noun","preferred",,,,"Yes"
"Low",,"noun","preferred",,,,"Faible",,"noun","preferred",,,,"Niedrig",,"noun","preferred",,,,"Baixo",,"noun","preferred",,,,"Bajo",,"noun","preferred",,,,"Yes"
"Low Disk Space",,"noun","preferred",,,,"Espace disque faible",,"noun","preferred",,,,"Wenig Speicherplatz",,"noun","preferred",,,,"Pouco Espaço em Disco",,"noun","preferred",,,,"Espacio en disco bajo",,"noun","preferred",,,,"Yes"
"Low Disk Space Warning",,"noun","preferred",,,,"Avertissement d'espace disque faible",,"noun","preferred",,,,"Wenig Speicherplatz-Warnung",,"noun","preferred",,,,"Aviso de Pouco Espaço em Disco",,"noun","preferred",,,,"Advertencia de espacio en disco bajo",,"noun","preferred",,,,"Yes"
"Machine Statistics",,"noun","preferred",,,,"Statistiques de la machine",,"noun","preferred",,,,"Maschinenstatistiken",,"noun","preferred",,,,"Estatísticas da máquina",,"noun","preferred",,,,"Estadísticas del sistema",,"noun","preferred",,,,"Yes"
"Manage application and system settings",,"noun","preferred",,,,"Gérer les paramètres de l'application et du système",,"noun","preferred",,,,"Anwendungs- und Systemeinstellungen verwalten",,"noun","preferred",,,,"Gerenciar configurações do aplicativo e do sistema",,"noun","preferred",,,,"Administrar la configuración de la aplicación y del sistema",,"noun","preferred",,,,"Yes"
"Manage application users and permissions",,"noun","preferred",,,,"Gérer les utilisateurs et les permissions de l'application",,"noun","preferred",,,,"Anwendungsbenutzer und Berechtigungen verwalten",,"noun","preferred",,,,"Gerenciar usuários e permissões do aplicativo",,"noun","preferred",,,,"Administrar usuarios y permisos de la aplicación",,"noun","preferred",,,,"Yes"
"Master Key File Changed",,"noun","preferred",,,,"Fichier de clé principale modifié",,"noun","preferred",,,,"Master-Schlüsseldatei geändert",,"noun","preferred",,,,"Arquivo de chave mestra alterado",,"noun","preferred",,,,"Archivo de clave maestra cambiado",,"noun","preferred",,,,"Yes"
"Master Key Invalid",,"noun","preferred",,,,"Clé maître invalide",,"noun","preferred",,,,"Hauptschlüssel ungültig",,"noun","preferred",,,,"Chave mestra inválida",,"noun","preferred",,,,"Clave maestra inválida",,"noun","preferred",,,,"Yes"
"Max/Urgent",,"noun","preferred",,,,"Max/Urgent",,"noun","preferred",,,,"Max/Dringend",,"noun","preferred",,,,"Máx/Urgente",,"noun","preferred",,,,"Máx/Urgente",,"noun","preferred",,,,"Yes"
"Maximum",,"noun","preferred",,,,"Maximum",,"noun","preferred",,,,"Maximum",,"noun","preferred",,,,"Máximo",,"noun","preferred",,,,"Máximo",,"noun","preferred",,,,"Yes"
"Merge Duplicate Servers",,"noun","preferred",,,,"Fusionner les serveurs en double",,"noun","preferred",,,,"Doppelte Server zusammenführen",,"noun","preferred",,,,"Mesclar servidores duplicados",,"noun","preferred",,,,"Fusionar servidores duplicados",,"noun","preferred",,,,"Yes"
"Merge Duplicate Servers?",,"noun","preferred",,,,"Fusionner les serveurs en double?",,"noun","preferred",,,,"Doppelte Server zusammenführen?",,"noun","preferred",,,,"Mesclar servidores duplicados?",,"noun","preferred",,,,"¿Fusionar servidores duplicados?",,"noun","preferred",,,,"Yes"
"Merge Failed",,"noun","preferred",,,,"Échec de la fusion",,"noun","preferred",,,,"Zusammenführung fehlgeschlagen",,"noun","preferred",,,,"Falha na mesclagem",,"noun","preferred",,,,"Error en la fusión",,"noun","preferred",,,,"Yes"
"Merge Servers",,"noun","preferred",,,,"Fusionner les serveurs",,"noun","preferred",,,,"Server zusammenführen",,"noun","preferred",,,,"Mesclar servidores",,"noun","preferred",,,,"Fusionar servidores",,"noun","preferred",,,,"Yes"
"Message Template",,"noun","preferred",,,,"Modèle de message",,"noun","preferred",,,,"Nachrichtenvorlage",,"noun","preferred",,,,"Modelo de mensagem",,"noun","preferred",,,,"Plantilla de mensaje",,"noun","preferred",,,,"Yes"
"Messages",,"noun","preferred",,,,"Messages",,"noun","preferred",,,,"Nachrichten",,"noun","preferred",,,,"Mensagens",,"noun","preferred",,,,"Mensajes",,"noun","preferred",,,,"Yes"
"Method not allowed",,"noun","preferred",,,,"Méthode non autorisée",,"noun","preferred",,,,"Methode nicht erlaubt",,"noun","preferred",,,,"Método não permitido",,"noun","preferred",,,,"Método no permitido",,"noun","preferred",,,,"Yes"
"Metrics",,"noun","preferred",,,,"Métriques",,"noun","preferred",,,,"Metriken",,"noun","preferred",,,,"Métricas",,"noun","preferred",,,,"Métricas",,"noun","preferred",,,,"Yes"
"min",,"noun","preferred",,,,"min",,"noun","preferred",,,,"Min",,"noun","preferred",,,,"min",,"noun","preferred",,,,"min",,"noun","preferred",,,,"Yes"
"Min(s)",,"noun","preferred",,,,"Min(s)",,"noun","preferred",,,,"Min(n)",,"noun","preferred",,,,"Min(s)",,"noun","preferred",,,,"Min(s)",,"noun","preferred",,,,"Yes"
"Minimum",,"noun","preferred",,,,"Minimum",,"noun","preferred",,,,"Minimum",,"noun","preferred",,,,"Mínimo",,"noun","preferred",,,,"Mínimo",,"noun","preferred",,,,"Yes"
"Minute(s)",,"noun","preferred",,,,"Minute(s)",,"noun","preferred",,,,"Minute(n)",,"noun","preferred",,,,"Minuto(s)",,"noun","preferred",,,,"Minuto(s)",,"noun","preferred",,,,"Yes"
"Missing Password",,"noun","preferred",,,,"Mot de passe manquant",,"noun","preferred",,,,"Passwort fehlt",,"noun","preferred",,,,"Senha ausente",,"noun","preferred",,,,"Contraseña faltante",,"noun","preferred",,,,"Yes"
"Missing URL",,"noun","preferred",,,,"URL manquante",,"noun","preferred",,,,"URL fehlt",,"noun","preferred",,,,"URL ausente",,"noun","preferred",,,,"URL faltante",,"noun","preferred",,,,"Yes"
"Missing URL & Password",,"noun","preferred",,,,"URL et mot de passe manquants",,"noun","preferred",,,,"URL & Passwort fehlen",,"noun","preferred",,,,"URL e senha ausentes",,"noun","preferred",,,,"URL y contraseña faltantes",,"noun","preferred",,,,"Yes"
"Monitor your backup servers and systems",,"noun","preferred",,,,"Surveillez vos serveurs de sauvegarde et systèmes",,"noun","preferred",,,,"Überwachen Sie Ihre Backup-Server und Systeme",,"noun","preferred",,,,"Monitore seus servidores de backup e sistemas",,"noun","preferred",,,,"Monitoree sus servidores de backup y sistemas",,"noun","preferred",,,,"Yes"
"Monitoring Enabled",,"noun","preferred",,,,"Surveillance activée",,"noun","preferred",,,,"Überwachung aktiviert",,"noun","preferred",,,,"Monitoramento habilitado",,"noun","preferred",,,,"Monitoreo habilitado",,"noun","preferred",,,,"Yes"
"Monitoring interval",,"noun","preferred",,,,"Intervalle de surveillance",,"noun","preferred",,,,"Überwachungsintervall",,"noun","preferred",,,,"Intervalo de monitoramento",,"noun","preferred",,,,"Intervalo de monitoreo",,"noun","preferred",,,,"Yes"
"Month(s)",,"noun","preferred",,,,"Mois",,"noun","preferred",,,,"Monat(e)",,"noun","preferred",,,,"Mês(es)",,"noun","preferred",,,,"Mes(es)",,"noun","preferred",,,,"Yes"
"Moved successfully",,"noun","preferred",,,,"Déplacé avec succès",,"noun","preferred",,,,"Erfolgreich verschoben",,"noun","preferred",,,,"Movido com sucesso",,"noun","preferred",,,,"Movido exitosamente",,"noun","preferred",,,,"Yes"
"Multi-Server Collection Progress",,"noun","preferred",,,,"Progression de la collecte multi-serveurs",,"noun","preferred",,,,"Fortschritt der Multi-Server-Sammlung",,"noun","preferred",,,,"Progresso da coleta multi-servidor",,"noun","preferred",,,,"Progreso de recopilación multi-servidor",,"noun","preferred",,,,"Yes"
"Multiple servers detected",,"noun","preferred",,,,"Plusieurs serveurs détectés",,"noun","preferred",,,,"Mehrere Server erkannt",,"noun","preferred",,,,"Múltiplos servidores detectados",,"noun","preferred",,,,"Múltiples servidores detectados",,"noun","preferred",,,,"Yes"
"Must be a BigInt",,"noun","preferred",,,,"Doit être un BigInt",,"noun","preferred",,,,"Muss ein BigInt sein",,"noun","preferred",,,,"Deve ser um BigInt",,"noun","preferred",,,,"Debe ser un BigInt",,"noun","preferred",,,,"Yes"
"Must be a boolean",,"noun","preferred",,,,"Doit être un booléen",,"noun","preferred",,,,"Muss ein Boolean sein",,"noun","preferred",,,,"Deve ser um booleano",,"noun","preferred",,,,"Debe ser un booleano",,"noun","preferred",,,,"Yes"
"Must be a date",,"noun","preferred",,,,"Doit être une date",,"noun","preferred",,,,"Muss ein Datum sein",,"noun","preferred",,,,"Deve ser uma data",,"noun","preferred",,,,"Debe ser una fecha",,"noun","preferred",,,,"Yes"
"Must be a function",,"noun","preferred",,,,"Doit être une fonction",,"noun","preferred",,,,"Muss eine Funktion sein",,"noun","preferred",,,,"Deve ser uma função",,"noun","preferred",,,,"Debe ser una función",,"noun","preferred",,,,"Yes"
"Must be a generator",,"noun","preferred",,,,"Doit être un générateur",,"noun","preferred",,,,"Muss ein Generator sein",,"noun","preferred",,,,"Deve ser um generator",,"noun","preferred",,,,"Debe ser un generador",,"noun","preferred",,,,"Yes"
"Must be a number",,"noun","preferred",,,,"Doit être un nombre",,"noun","preferred",,,,"Muss eine Zahl sein",,"noun","preferred",,,,"Deve ser um número",,"noun","preferred",,,,"Debe ser un número",,"noun","preferred",,,,"Yes"
"Must be a promise",,"noun","preferred",,,,"Doit être une promesse",,"noun","preferred",,,,"Muss ein Promise sein",,"noun","preferred",,,,"Deve ser uma promise",,"noun","preferred",,,,"Debe ser una promesa",,"noun","preferred",,,,"Yes"
"Must be a regular expression",,"noun","preferred",,,,"Doit être une expression régulière",,"noun","preferred",,,,"Muss ein regulärer Ausdruck sein",,"noun","preferred",,,,"Deve ser uma expressão regular",,"noun","preferred",,,,"Debe ser una expresión regular",,"noun","preferred",,,,"Yes"
"Must be a string",,"noun","preferred",,,,"Doit être une chaîne",,"noun","preferred",,,,"Muss ein String sein",,"noun","preferred",,,,"Deve ser uma string",,"noun","preferred",,,,"Debe ser una cadena",,"noun","preferred",,,,"Yes"
"Must be a symbol",,"noun","preferred",,,,"Doit être un symbole",,"noun","preferred",,,,"Muss ein Symbol sein",,"noun","preferred",,,,"Deve ser um symbol",,"noun","preferred",,,,"Debe ser un símbolo",,"noun","preferred",,,,"Yes"
"Must be an array",,"noun","preferred",,,,"Doit être un tableau",,"noun","preferred",,,,"Muss ein Array sein",,"noun","preferred",,,,"Deve ser um array",,"noun","preferred",,,,"Debe ser un array",,"noun","preferred",,,,"Yes"
"Must be an error object",,"noun","preferred",,,,"Doit être un objet d'erreur",,"noun","preferred",,,,"Muss ein Fehlerobjekt sein",,"noun","preferred",,,,"Deve ser um objeto de erro",,"noun","preferred",,,,"Debe ser un objeto de error",,"noun","preferred",,,,"Yes"
"Must be an object",,"noun","preferred",,,,"Doit être un objet",,"noun","preferred",,,,"Muss ein Objekt sein",,"noun","preferred",,,,"Deve ser um objeto",,"noun","preferred",,,,"Debe ser un objeto",,"noun","preferred",,,,"Yes"
"Must be async",,"noun","preferred",,,,"Doit être async",,"noun","preferred",,,,"Muss async sein",,"noun","preferred",,,,"Deve ser async",,"noun","preferred",,,,"Debe ser async",,"noun","preferred",,,,"Yes"
"Must be at least",,"noun","preferred",,,,"Doit être au moins",,"noun","preferred",,,,"Mindestens",,"noun","preferred",,,,"Deve ser pelo menos",,"noun","preferred",,,,"Debe ser al menos",,"noun","preferred",,,,"Yes"
"Must be at most",,"noun","preferred",,,,"Doit être au plus",,"noun","preferred",,,,"Maximal",,"noun","preferred",,,,"Deve ser no máximo",,"noun","preferred",,,,"Debe ser como máximo",,"noun","preferred",,,,"Yes"
"Must be iterable",,"noun","preferred",,,,"Doit être itérable",,"noun","preferred",,,,"Muss iterierbar sein",,"noun","preferred",,,,"Deve ser iterável",,"noun","preferred",,,,"Debe ser iterable",,"noun","preferred",,,,"Yes"
"Must Change Password",,"noun","preferred",,,,"Doit changer le mot de passe",,"noun","preferred",,,,"Passwort muss geändert werden",,"noun","preferred",,,,"Deve alterar a senha",,"noun","preferred",,,,"Debe cambiar la contraseña",,"noun","preferred",,,,"Yes"
"N/A",,"noun","preferred",,,,"N/A",,"noun","preferred",,,,"N/V",,"noun","preferred",,,,"N/A",,"noun","preferred",,,,"N/A",,"noun","preferred",,,,"Yes"
"Name of the backup",,"noun","preferred",,,,"Nom de la sauvegarde",,"noun","preferred",,,,"Name der Sicherung",,"noun","preferred",,,,"Nome do backup",,"noun","preferred",,,,"Nombre del backup",,"noun","preferred",,,,"Yes"
"Name of the server",,"noun","preferred",,,,"Nom du serveur",,"noun","preferred",,,,"Name des Servers",,"noun","preferred",,,,"Nome do servidor",,"noun","preferred",,,,"Nombre del servidor",,"noun","preferred",,,,"Yes"
"name or IP (comma-separated for multiple)",,"noun","preferred",,,,"nom ou IP (séparés par des virgules pour plusieurs)",,"noun","preferred",,,,"name oder IP (durch Komma getrennt für mehrere)",,"noun","preferred",,,,"nome ou IP (separados por vírgula para múltiplos)",,"noun","preferred",,,,"nombre o IP (separados por comas para múltiples)",,"noun","preferred",,,,"Yes"
"Network Error",,"noun","preferred",,,,"Erreur réseau",,"noun","preferred",,,,"Netzwerkfehler",,"noun","preferred",,,,"Erro de rede",,"noun","preferred",,,,"Error de red",,"noun","preferred",,,,"Yes"
"Network error - Please check your connection",,"noun","preferred",,,,"Erreur réseau - Veuillez vérifier votre connexion",,"noun","preferred",,,,"Netzwerkfehler - Bitte überprüfen Sie Ihre Verbindung",,"noun","preferred",,,,"Erro de rede - Por favor, verifique sua conexão",,"noun","preferred",,,,"Error de red - Por favor verifique su conexión",,"noun","preferred",,,,"Yes"
"Never",,"noun","preferred",,,,"Jamais",,"noun","preferred",,,,"Nie",,"noun","preferred",,,,"Nunca",,"noun","preferred",,,,"Nunca",,"noun","preferred",,,,"Yes"
"New Password",,"noun","preferred",,,,"Nouveau mot de passe",,"noun","preferred",,,,"Neues Passwort",,"noun","preferred",,,,"Nova senha",,"noun","preferred",,,,"Nueva contraseña",,"noun","preferred",,,,"Yes"
"New servers detected and added to the list",,"noun","preferred",,,,"Nouveaux serveurs détectés et ajoutés à la liste",,"noun","preferred",,,,"Neue Server erkannt und zur Liste hinzugefügt",,"noun","preferred",,,,"Novos servidores detectados e adicionados à lista",,"noun","preferred",,,,"Nuevos servidores detectados y agregados a la lista",,"noun","preferred",,,,"Yes"
"Next",,"noun","preferred",,,,"Suivant",,"noun","preferred",,,,"Weiter",,"noun","preferred",,,,"Próximo",,"noun","preferred",,,,"Siguiente",,"noun","preferred",,,,"Yes"
"Next Backup",,"noun","preferred",,,,"Prochaine sauvegarde",,"noun","preferred",,,,"Nächste Sicherung",,"noun","preferred",,,,"Próximo backup",,"noun","preferred",,,,"Próximo backup",,"noun","preferred",,,,"Yes"
"Next Check",,"noun","preferred",,,,"Prochaine vérification",,"noun","preferred",,,,"Nächste Prüfung",,"noun","preferred",,,,"Próxima Verificação",,"noun","preferred",,,,"Próxima verificación",,"noun","preferred",,,,"Yes"
"Next Retry",,"noun","preferred",,,,"Prochaine tentative",,"noun","preferred",,,,"Nächster Versuch",,"noun","preferred",,,,"Próxima Tentativa",,"noun","preferred",,,,"Próximo reintento",,"noun","preferred",,,,"Yes"
"Next run",,"noun","preferred",,,,"Prochaine exécution",,"noun","preferred",,,,"Nächster Lauf",,"noun","preferred",,,,"Próxima execução",,"noun","preferred",,,,"Próxima ejecución",,"noun","preferred",,,,"Yes"
"Next Run Weekday",,"noun","preferred",,,,"Jour de la semaine de la prochaine exécution",,"noun","preferred",,,,"Wochentag des nächsten Laufs",,"noun","preferred",,,,"Dia da semana da próxima execução",,"noun","preferred",,,,"Día de la semana de la próxima ejecución",,"noun","preferred",,,,"Yes"
"No",,"noun","preferred",,,,"Non",,"noun","preferred",,,,"Nein",,"noun","preferred",,,,"Não",,"noun","preferred",,,,"No",,"noun","preferred",,,,"Yes"
"No alerts",,"noun","preferred",,,,"Aucune alerte",,"noun","preferred",,,,"Keine Warnungen",,"noun","preferred",,,,"Sem alertas",,"noun","preferred",,,,"Sin alertas",,"noun","preferred",,,,"Yes"
"No audit logs found",,"noun","preferred",,,,"Aucun journal d'audit trouvé",,"noun","preferred",,,,"Keine Audit-Logs gefunden",,"noun","preferred",,,,"Nenhum log de auditoria encontrado",,"noun","preferred",,,,"No se encontraron logs de auditoría",,"noun","preferred",,,,"Yes"
