"en","fr","de","pt-BR","es"
"for custom backup overrides","pour les remplacements de sauvegarde personnalisés","für benutzerdefinierte Sicherungsüberschreibungen","para substituições de backup personalizadas","para anulaciones de backup personalizadas"
"for inherited destinations","pour les destinations héritées","für geerbte Ziele","para destinos herdados","para destinos heredados"
"for server defaults","pour les paramètres par défaut du serveur","für Server-Standardeinstellungen","para padrões do servidor","para valores predeterminados del servidor"
"Forbidden","Interdit","Verboten","Proibido","Prohibido"
"Force Backup","Forcer la sauvegarde","Sicherung erzwingen","Forçar backup","Forzar backup"
"Forgot Password","Mot de passe oublié","Passwort vergessen","Esqueceu a senha","¿Olvidó su contraseña?"
"Forgot password?","Mot de passe oublié?","Passwort vergessen?","Esqueceu a senha?","¿Olvidó su contraseña?"
"French","Français","Französisch","Francês","Francés"
"Frequency","Fréquence","Häufigkeit","Frequência","Frecuencia"
"From Address","Adresse d'expéditeur","Absenderadresse","Endereço do remetente","Dirección de remitente"
"From address must contain '@' symbol","L'adresse d'expéditeur doit contenir le symbole '@'","Absenderadresse muss das Symbol '@' enthalten","O endereço do remetente deve conter o símbolo '@'","La dirección de remitente debe contener el símbolo '@'"
"Gateway timeout - Please try again","Délai d'attente de la passerelle dépassé - Veuillez réessayer","Gateway-Timeout - Bitte versuchen Sie es erneut","Tempo limite do gateway - Por favor, tente novamente","Tiempo de espera de la puerta de enlace agotado - Por favor inténtelo de nuevo"
"General","Général","Allgemein","Geral","General"
"General Settings","Paramètres généraux","Allgemeine Einstellungen","Configurações gerais","Configuración general"
"German","Allemand","Deutsch","Alemão","Alemán"
"Hello ,","Bonjour ,","Hallo ,","Olá ,","Hola ,"
"Help","Aide","Hilfe","Ajuda","Ayuda"
"Help for","Aide pour","Hilfe für","Ajuda para","Ayuda para"
"here","ici","hier","aqui","aquí"
"Hide","Masquer","Ausblenden","Ocultar","Ocultar"
"Hide password","Masquer le mot de passe","Passwort ausblenden","Ocultar senha","Ocultar contraseña"
"High","Élevé","Hoch","Alto","Alto"
"Host","Hôte","Host","Host","Host"
"Host Not Found","Hôte non trouvé","Host nicht gefunden","Host não encontrado","Host no encontrado"
"Host Unreachable","Hôte inaccessible","Host nicht erreichbar","Host inacessível","Host inalcanzable"
"Hostname","Nom d'hôte","Hostname","Nome do host","Nombre de host"
"Hour(s)","Heure(s)","Stunde(n)","Hora(s)","Hora(s)"
"How often to refresh data (in seconds)","À quelle fréquence actualiser les données (en secondes)","Wie oft Daten aktualisiert werden sollen (in Sekunden)","Com que frequência atualizar os dados (em segundos)","Con qué frecuencia actualizar los datos (en segundos)"
"https://ntfy.sh/","https://ntfy.sh/","https://ntfy.sh/","https://ntfy.sh/","https://ntfy.sh/"
"https://server:8200","https://server:8200","https://server:8200","https://server:8200","https://server:8200"
"I Understand","Je comprends","Ich verstehe","Eu entendo","Entiendo"
"ID","ID","ID","ID","ID"
"Import","Importer","Importieren","Importar","Importar"
"Important","Important","Wichtig","Importante","Importante"
"Imported successfully","Importé avec succès","Erfolgreich importiert","Importado com sucesso","Importado exitosamente"
"Inactive","Inactif","Inaktiv","Inativo","Inactivo"
"Info","Info","Info","Info","Info"
"Inheriting","Hérite de","Erbt","Herdando","Heredando"
"Inheriting from server defaults","Hérite des paramètres par défaut du serveur","Erbt von Server-Standardeinstellungen","Herdando dos padrões do servidor","Heredando de valores predeterminados del servidor"
"Insert","Insérer","Einfügen","Inserir","Insertar"
"Integrations","Intégrations","Integrationen","Integrações","Integraciones"
"Internal server error - Please try again later","Erreur interne du serveur - Veuillez réessayer plus tard","Interner Serverfehler - Bitte versuchen Sie es später erneut","Erro interno do servidor - Por favor, tente novamente mais tarde","Error interno del servidor - Por favor inténtelo más tarde"
"Interval","Intervalle","Intervall","Intervalo","Intervalo"
"Invalid charset","Jeu de caractères invalide","Ungültiger Zeichensatz","Charset inválido","Juego de caracteres inválido"
"Invalid color","Couleur invalide","Ungültige Farbe","Cor inválida","Color inválido"
"Invalid country","Pays invalide","Ungültiges Land","País inválido","País inválido"
"Invalid currency","Devise invalide","Ungültige Währung","Moeda inválida","Moneda inválida"
"Invalid date","Date invalide","Ungültiges Datum","Data inválida","Fecha inválida"
"Invalid email address","Adresse e-mail invalide","Ungültige E-Mail-Adresse","Endereço de e-mail inválido","Dirección de correo electrónico inválida"
"Invalid encoding","Encodage invalide","Ungültige Kodierung","Codificação inválida","Codificación inválida"
"Invalid file type","Type de fichier invalide","Ungültiger Dateityp","Tipo de arquivo inválido","Tipo de archivo inválido"
"Invalid format","Format invalide","Ungültiges Format","Formato inválido","Formato inválido"
"Invalid Hostnames","Noms d'hôte invalides","Ungültige Hostnamen","Nomes de host inválidos","Nombres de host inválidos"
"Invalid interval format","Format d'intervalle invalide","Ungültiges Intervallformat","Formato de intervalo inválido","Formato de intervalo inválido"
"Invalid language","Langue invalide","Ungültige Sprache","Idioma inválido","Idioma inválido"
"Invalid mime type","Type MIME invalide","Ungültiger MIME-Typ","Tipo MIME inválido","Tipo MIME inválido"
"Invalid number","Nombre invalide","Ungültige Zahl","Número inválido","Número inválido"
"Invalid or expired reset token","Jeton de réinitialisation invalide ou expiré","Ungültiger oder abgelaufener Reset-Token","Token de redefinição inválido ou expirado","Token de restablecimiento inválido o expirado"
"Invalid phone number","Numéro de téléphone invalide","Ungültige Telefonnummer","Número de telefone inválido","Número de teléfono inválido"
"Invalid postal code","Code postal invalide","Ungültige Postleitzahl","CEP inválido","Código postal inválido"
"Invalid response format","Format de réponse invalide","Ungültiges Antwortformat","Formato de resposta inválido","Formato de respuesta inválido"
"Invalid time","Heure invalide","Ungültige Zeit","Hora inválida","Hora inválida"
"Invalid timezone","Fuseau horaire invalide","Ungültige Zeitzone","Fuso horário inválido","Zona horaria inválida"
"Invalid URL","URL invalide","Ungültige URL","URL inválida","URL inválida"
"Invalid username or password","Nom d'utilisateur ou mot de passe invalide","Ungültiger Benutzername oder Passwort","Nome de usuário ou senha inválidos","Nombre de usuario o contraseña inválidos"
"Invalid value","Valeur invalide","Ungültiger Wert","Valor inválido","Valor inválido"
"Invalid verification code","Code de vérification invalide","Ungültiger Bestätigungscode","Código de verificação inválido","Código de verificación inválido"
"IP Address","Adresse IP","IP-Adresse","Endereço IP","Dirección IP"
"JSON","JSON","JSON","JSON","JSON"
"JSON file downloaded","Fichier JSON téléchargé","JSON-Datei heruntergeladen","Arquivo JSON baixado","Archivo JSON descargado"
"Language","Langue","Sprache","Idioma","Idioma"
"Last","Dernière","Letzte","Última","Última"
"Last 2 weeks","Dernières 2 semaines","Letzte 2 Wochen","Últimas 2 semanas","Últimas 2 semanas"
"Last 2 years","Dernières 2 années","Letzte 2 Jahre","Últimos 2 anos","Últimos 2 años"
"Last 24 Hours","Dernières 24 heures","Letzte 24 Stunden","Últimas 24 horas","Últimas 24 horas"
"Last 30 Days","Derniers 30 jours","Letzte 30 Tage","Últimos 30 dias","Últimos 30 días"
"Last 7 Days","Derniers 7 jours","Letzte 7 Tage","Últimos 7 dias","Últimos 7 días"
"Last 90 Days","Derniers 90 jours","Letzte 90 Tage","Últimos 90 dias","Últimos 90 días"
"Last Backup","Dernière sauvegarde","Letzte Sicherung","Último backup","Último backup"
"Last Backup (cfg)","Dernière sauvegarde (cfg)","Letzte Sicherung (cfg)","Último backup (cfg)","Último backup (cfg)"
"Last Backup (cfg) Weekday","Jour de la semaine de la dernière sauvegarde (cfg)","Wochentag der letzten Sicherung (cfg)","Dia da semana do último backup (cfg)","Día de la semana del último backup (cfg)"
"Last Backup (DB)","Dernière sauvegarde (DB)","Letzte Sicherung (DB)","Último backup (DB)","Último backup (DB)"
"Last Backup Date","Date de la dernière sauvegarde","Datum der letzten Sicherung","Data do último backup","Fecha del último backup"
"Last Backup Details","Détails de la dernière sauvegarde","Details der letzten Sicherung","Detalhes do último backup","Detalles del último backup"
"Last Backup File Size","Taille de fichier de la dernière sauvegarde","Dateigröße der letzten Sicherung","Tamanho do arquivo do último backup","Tamaño de archivo del último backup"
"Last Backup List Count","Nombre d'éléments de la dernière sauvegarde","Anzahl der letzten Sicherungsliste","Total de arquivos do último backup","Cantidad de elementos del último backup"
"Last backup received (new > old)","Dernière sauvegarde reçue (récent > ancien)","Letzte Sicherung empfangen (neu > alt)","Último backup recebido (recente > antigo)","Última copia de seguridad recibida (nuevo > antiguo)"
"Last backup received (new>old)","Dernière sauvegarde reçue (nouveau>ancien)","Letzte Sicherung erhalten (neu>alt)","Último backup recebido (recente>antigo)","Último backup recibido (nuevo>antiguo)"
"Last Backup Size","Taille de la dernière sauvegarde","Größe der letzten Sicherung","Tamanho do último backup","Tamaño del último backup"
"Last Backup Status","Statut de la dernière sauvegarde","Status der letzten Sicherung","Status do último backup","Estado del último backup"
"Last Backup Storage Size","Taille de stockage de la dernière sauvegarde","Speichergröße der letzten Sicherung","Tamanho de armazenamento do último backup","Tamaño de almacenamiento del último backup"
"Last checked","Dernière vérification","Zuletzt geprüft","Última verificação","Última verificación"
"Last Hour","Dernière heure","Letzte Stunde","Última hora","Última hora"
"Last Login","Dernière connexion","Letzte Anmeldung","Último login","Último inicio de sesión"
"Last modified","Dernière modification","Zuletzt geändert","Última modificação","Última modificación"
"Last month","Dernier mois","Letzter Monat","Último mês","Último mes"
"Last notification","Dernière notification","Letzte Benachrichtigung","Última notificação","Última notificación"
"Last quarter","Dernier trimestre","Letztes Quartal","Último trimestre","Último trimestre"
"Last Seen","Dernière vue","Zuletzt gesehen","Visto pela Última Vez","Visto por última vez"
"Last semester","Dernier semestre","Letztes Semester","Último semestre","Último semestre"
"Last Update","Dernière mise à jour","Letzte Aktualisierung","Última atualização","Última actualización"
"Last week","Semaine dernière","Letzte Woche","Última semana","Última semana"
"Last Year","L'année dernière","Letztes Jahr","Último ano","El año pasado"
"Learn more about NTFY at","En savoir plus sur NTFY sur","Erfahren Sie mehr über NTFY unter","Saiba mais sobre NTFY em","Obtenga más información sobre NTFY en"
"Leave empty to use stored hostname","Laisser vide pour utiliser le nom d'hôte stocké","Leer lassen, um gespeicherten Hostname zu verwenden","Deixar vazio para usar o nome do host armazenado","Dejar vacío para usar el nombre de host almacenado"
"Leave empty to use stored password","Laisser vide pour utiliser le mot de passe stocké","Leer lassen, um gespeichertes Passwort zu verwenden","Deixar vazio para usar a senha armazenada","Dejar vacío para usar la contraseña almacenada"
"Light","Clair","Hell","Claro","Claro"
"Lines to Show","Lignes à afficher","Anzuzeigende Zeilen","Linhas para mostrar","Líneas a mostrar"
"Locked","Verrouillé","Gesperrt","Bloqueado","Bloqueado"
"Log in","Se connecter","Anmelden","Entrar","Iniciar sesión"
"Log Retention","Rétention des journaux","Protokollaufbewahrung","Retenção de logs","Retención de logs"
"Log Summary","Résumé du journal","Protokollzusammenfassung","Resumo do log","Resumen del log"
"Log text messages (warnings and errors)","Messages texte du journal (avertissements et erreurs)","Protokolltextnachrichten (Warnungen und Fehler)","Mensagens de texto do log (avisos e erros)","Mensajes de texto del log (advertencias y errores)"
"Logged out successfully","Déconnecté avec succès","Erfolgreich abgemeldet","Sessão encerrada com sucesso","Sesión cerrada exitosamente"
"Login","Connexion","Anmelden","Login","Iniciar sesión"
"Login failed","Connexion échouée","Anmeldung fehlgeschlagen","Falha no login","Inicio de sesión fallido"
"Login successful","Connexion réussie","Anmeldung erfolgreich","Login bem-sucedido","Inicio de sesión exitoso"
"Logout","Déconnexion","Abmelden","Sair","Cerrar sesión"
"Logs","Journaux","Protokolle","Logs","Logs"
"Logs copied to clipboard","Journaux copiés dans le presse-papiers","Protokolle in die Zwischenablage kopiert","Logs copiados para a área de transferência","Logs copiados al portapapeles"
"Logs exported successfully","Journaux exportés avec succès","Protokolle erfolgreich exportiert","Logs exportados com sucesso","Logs exportados exitosamente"
"Low","Faible","Niedrig","Baixo","Bajo"
"Low Disk Space","Espace disque faible","Wenig Speicherplatz","Pouco Espaço em Disco","Espacio en disco bajo"
"Low Disk Space Warning","Avertissement d'espace disque faible","Wenig Speicherplatz-Warnung","Aviso de Pouco Espaço em Disco","Advertencia de espacio en disco bajo"
"Machine Statistics","Statistiques de la machine","Maschinenstatistiken","Estatísticas da máquina","Estadísticas del sistema"
"Manage application and system settings","Gérer les paramètres de l'application et du système","Anwendungs- und Systemeinstellungen verwalten","Gerenciar configurações do aplicativo e do sistema","Administrar la configuración de la aplicación y del sistema"
"Manage application users and permissions","Gérer les utilisateurs et les permissions de l'application","Anwendungsbenutzer und Berechtigungen verwalten","Gerenciar usuários e permissões do aplicativo","Administrar usuarios y permisos de la aplicación"
"Master Key File Changed","Fichier de clé principale modifié","Master-Schlüsseldatei geändert","Arquivo de chave mestra alterado","Archivo de clave maestra cambiado"
"Master Key Invalid","Clé maître invalide","Hauptschlüssel ungültig","Chave mestra inválida","Clave maestra inválida"
"Max/Urgent","Max/Urgent","Max/Dringend","Máx/Urgente","Máx/Urgente"
"Maximum","Maximum","Maximum","Máximo","Máximo"
"Merge Duplicate Servers","Fusionner les serveurs en double","Doppelte Server zusammenführen","Mesclar servidores duplicados","Fusionar servidores duplicados"
"Merge Duplicate Servers?","Fusionner les serveurs en double?","Doppelte Server zusammenführen?","Mesclar servidores duplicados?","¿Fusionar servidores duplicados?"
"Merge Failed","Échec de la fusion","Zusammenführung fehlgeschlagen","Falha na mesclagem","Error en la fusión"
"Merge Servers","Fusionner les serveurs","Server zusammenführen","Mesclar servidores","Fusionar servidores"
"Message Template","Modèle de message","Nachrichtenvorlage","Modelo de mensagem","Plantilla de mensaje"
"Messages","Messages","Nachrichten","Mensagens","Mensajes"
"Method not allowed","Méthode non autorisée","Methode nicht erlaubt","Método não permitido","Método no permitido"
"Metrics","Métriques","Metriken","Métricas","Métricas"
"min","min","Min","min","min"
"Min(s)","Min(s)","Min(n)","Min(s)","Min(s)"
"Minimum","Minimum","Minimum","Mínimo","Mínimo"
"Minute(s)","Minute(s)","Minute(n)","Minuto(s)","Minuto(s)"
"Missing Password","Mot de passe manquant","Passwort fehlt","Senha ausente","Contraseña faltante"
"Missing URL","URL manquante","URL fehlt","URL ausente","URL faltante"
"Missing URL & Password","URL et mot de passe manquants","URL & Passwort fehlen","URL e senha ausentes","URL y contraseña faltantes"
"Monday","Lundi","Montag","Segunda-feira","Lunes"
"Monitor your backup servers and systems","Surveillez vos serveurs de sauvegarde et systèmes","Überwachen Sie Ihre Backup-Server und Systeme","Monitore seus servidores de backup e sistemas","Monitoree sus servidores de backup y sistemas"
"Monitoring Enabled","Surveillance activée","Überwachung aktiviert","Monitoramento habilitado","Monitoreo habilitado"
"Monitoring interval","Intervalle de surveillance","Überwachungsintervall","Intervalo de monitoramento","Intervalo de monitoreo"
"Month(s)","Mois","Monat(e)","Mês(es)","Mes(es)"
"Moved successfully","Déplacé avec succès","Erfolgreich verschoben","Movido com sucesso","Movido exitosamente"
"Multi-Server Collection Progress","Progression de la collecte multi-serveurs","Fortschritt der Multi-Server-Sammlung","Progresso da coleta multi-servidor","Progreso de recopilación multi-servidor"
"Multiple servers detected","Plusieurs serveurs détectés","Mehrere Server erkannt","Múltiplos servidores detectados","Múltiples servidores detectados"
"Must be a BigInt","Doit être un BigInt","Muss ein BigInt sein","Deve ser um BigInt","Debe ser un BigInt"
"Must be a boolean","Doit être un booléen","Muss ein Boolean sein","Deve ser um booleano","Debe ser un booleano"
"Must be a date","Doit être une date","Muss ein Datum sein","Deve ser uma data","Debe ser una fecha"
"Must be a function","Doit être une fonction","Muss eine Funktion sein","Deve ser uma função","Debe ser una función"
"Must be a generator","Doit être un générateur","Muss ein Generator sein","Deve ser um generator","Debe ser un generador"
"Must be a number","Doit être un nombre","Muss eine Zahl sein","Deve ser um número","Debe ser un número"
"Must be a promise","Doit être une promesse","Muss ein Promise sein","Deve ser uma promise","Debe ser una promesa"
"Must be a regular expression","Doit être une expression régulière","Muss ein regulärer Ausdruck sein","Deve ser uma expressão regular","Debe ser una expresión regular"
"Must be a string","Doit être une chaîne","Muss ein String sein","Deve ser uma string","Debe ser una cadena"
"Must be a symbol","Doit être un symbole","Muss ein Symbol sein","Deve ser um symbol","Debe ser un símbolo"
"Must be an array","Doit être un tableau","Muss ein Array sein","Deve ser um array","Debe ser un array"
"Must be an error object","Doit être un objet d'erreur","Muss ein Fehlerobjekt sein","Deve ser um objeto de erro","Debe ser un objeto de error"
"Must be an object","Doit être un objet","Muss ein Objekt sein","Deve ser um objeto","Debe ser un objeto"
"Must be async","Doit être async","Muss async sein","Deve ser async","Debe ser async"
"Must be at least","Doit être au moins","Mindestens","Deve ser pelo menos","Debe ser al menos"
"Must be at most","Doit être au plus","Maximal","Deve ser no máximo","Debe ser como máximo"
"Must be iterable","Doit être itérable","Muss iterierbar sein","Deve ser iterável","Debe ser iterable"
"Must Change Password","Doit changer le mot de passe","Passwort muss geändert werden","Deve alterar a senha","Debe cambiar la contraseña"
"N/A","N/A","N/V","N/A","N/A"
"Name of the backup","Nom de la sauvegarde","Name der Sicherung","Nome do backup","Nombre del backup"
"Name of the server","Nom du serveur","Name des Servers","Nome do servidor","Nombre del servidor"
"name or IP (comma-separated for multiple)","nom ou IP (séparés par des virgules pour plusieurs)","name oder IP (durch Komma getrennt für mehrere)","nome ou IP (separados por vírgula para múltiplos)","nombre o IP (separados por comas para múltiples)"
"Needs Attention","Nécessite une attention","Benötigt Aufmerksamkeit","Precisa de atenção","Necesita atención"
"Network Error","Erreur réseau","Netzwerkfehler","Erro de rede","Error de red"
"Network error - Please check your connection","Erreur réseau - Veuillez vérifier votre connexion","Netzwerkfehler - Bitte überprüfen Sie Ihre Verbindung","Erro de rede - Por favor, verifique sua conexão","Error de red - Por favor verifique su conexión"
"Never","Jamais","Nie","Nunca","Nunca"
"New Password","Nouveau mot de passe","Neues Passwort","Nova senha","Nueva contraseña"
"New servers detected and added to the list","Nouveaux serveurs détectés et ajoutés à la liste","Neue Server erkannt und zur Liste hinzugefügt","Novos servidores detectados e adicionados à lista","Nuevos servidores detectados y agregados a la lista"
"Next","Suivant","Weiter","Próximo","Siguiente"
"Next Backup","Prochaine sauvegarde","Nächste Sicherung","Próximo backup","Próximo backup"
"Next Check","Prochaine vérification","Nächste Prüfung","Próxima Verificação","Próxima verificación"
"Next Retry","Prochaine tentative","Nächster Versuch","Próxima Tentativa","Próximo reintento"
"Next Run","Prochaine exécution","Nächster Lauf","Próxima execução","Próxima ejecución"
"Next Run Weekday","Jour de la semaine de la prochaine exécution","Wochentag des nächsten Laufs","Dia da semana da próxima execução","Día de la semana de la próxima ejecución"
"No","Non","Nein","Não","No"
"No alerts","Aucune alerte","Keine Warnungen","Sem alertas","Sin alertas"
"No audit logs found","Aucun journal d'audit trouvé","Keine Audit-Logs gefunden","Nenhum log de auditoria encontrado","No se encontraron logs de auditoría"
"No backup jobs available","Aucune tâche de sauvegarde disponible","Keine Backup-Jobs verfügbar","Nenhum trabalho de backup disponível","No hay trabajos de backup disponibles"
"No backups found","Aucune sauvegarde trouvée","Keine Sicherungen gefunden","Nenhum backup encontrado","No se encontraron backups"
"No backups found for this machine.","Aucune sauvegarde trouvée pour cette machine.","Keine Sicherungen für diese Maschine gefunden.","Nenhum backup encontrado para esta máquina.","No se encontraron backups para esta máquina."
"No backups found for this server.","Aucune sauvegarde trouvée pour ce serveur.","Keine Sicherungen für diesen Server gefunden.","Nenhum backup encontrado para este servidor.","No se encontraron backups para este servidor."
"No configuration available","Aucune configuration disponible","Keine Konfiguration verfügbar","Nenhuma configuração disponível","No hay configuración disponible"
"No data available","Aucune donnée disponible","Keine Daten verfügbar","Nenhum dado disponível","No hay datos disponibles"
"No Eligible Servers","Aucun serveur éligible","Keine geeigneten Server","Nenhum servidor elegível","No hay servidores elegibles"
"No file chosen","Aucun fichier sélectionné","Keine Datei ausgewählt","Nenhum arquivo escolhido","Ningún archivo elegido"
"No file selected","Aucun fichier sélectionné","Keine Datei ausgewählt","Nenhum arquivo selecionado","No se seleccionó ningún archivo"
"No logs available","Aucun journal disponible","Keine Protokolle verfügbar","Nenhum log disponível","No hay logs disponibles"
"No logs match the current filters","Aucun journal ne correspond aux filtres actuels","Keine Protokolle entsprechen den aktuellen Filtern","Nenhum log corresponde aos filtros atuais","Ningún log coincide con los filtros actuales"
"No messages were received for this backup.","Aucun message n'a été reçu pour cette sauvegarde.","Für diese Sicherung wurden keine Nachrichten empfangen.","Nenhuma mensagem foi recebida para este backup.","No se recibieron mensajes para este backup."
"No more logs to load","Aucun autre journal à charger","Keine weiteren Protokolle zu laden","Não há mais logs para carregar","No hay más logs para cargar"
"No server URLs are configured to test","Aucune URL de serveur configurée à tester","Keine Server-URLs zum Testen konfiguriert","Nenhuma URL de servidor configurada para testar","No hay URLs de servidor configuradas para probar"
"No servers configured","Aucun serveur configuré","Keine Server konfiguriert","Nenhum servidor configurado","No hay servidores configurados"
"No servers found","Aucun serveur trouvé","Keine Server gefunden","Nenhum servidor encontrado","No se encontraron servidores"
"No servers have been registered yet.","Aucun serveur n'a encore été enregistré.","Es wurden noch keine Server registriert.","Nenhum servidor foi registrado ainda.","Aún no se han registrado servidores."
"No servers selected","Aucun serveur sélectionné","Keine Server ausgewählt","Nenhum servidor selecionado","No se seleccionaron servidores"
"No servers with backups found in the database","Aucun serveur avec sauvegardes trouvé dans la base de données","Keine Server mit Sicherungen in der Datenbank gefunden","Nenhum servidor com backups encontrado no banco de dados","No se encontraron servidores con backups en la base de datos"
"No servers with passwords configured","Aucun serveur avec mot de passe configuré","Keine Server mit konfigurierten Passwörtern","Nenhum servidor com senhas configuradas","No hay servidores con contraseñas configuradas"
"No servers with server URLs configured","Aucun serveur avec des URL de serveur configurées","Keine Server mit konfigurierten Server-URLs","Nenhum servidor com URLs de servidor configuradas","No hay servidores con URL de servidor configuradas"
"No tolerance","Aucune tolérance","Keine Toleranz","Sem tolerância","Sin tolerancia"
"No URL configured","Aucune URL configurée","Keine URL konfiguriert","Nenhuma URL configurada","No hay URL configurada"
"No URLs to Test","Aucune URL à tester","Keine URLs zum Testen","Nenhuma URL para testar","No hay URLs para probar"
"No users found","Aucun utilisateur trouvé","Keine Benutzer gefunden","Nenhum usuário encontrado","No se encontraron usuarios"
"No users found matching your search","Aucun utilisateur trouvé correspondant à votre recherche","Keine Benutzer gefunden, die Ihrer Suche entsprechen","Nenhum usuário encontrado correspondente à sua pesquisa","No se encontraron usuarios que coincidan con su búsqueda"
"None","Aucun","Keine","Nenhum","Ninguno"
"noreply@your-domain.com","noreply@votre-domaine.com","noreply@ihre-domain.com","noreply@seu-dominio.com","noreply@su-dominio.com"
"Not accessible","Inaccessible","Nicht zugänglich","Não acessível","No accesible"
"Not active","Inactif","Nicht aktiv","Não ativo","Inactivo"
"Not allowed","Non autorisé","Nicht erlaubt","Não permitido","No permitido"
"Not available","Indisponible","Nicht verfügbar","Indisponível","No disponible"
"Not closed","Ouvert","Nicht geschlossen","Não está fechado","Abierto"
"not configured","non configuré","nicht konfiguriert","não configurado","no configurado"
"Not connected","Non connecté","Nicht verbunden","Não conectado","No conectado"
"Not disabled","Non désactivé","Nicht deaktiviert","Não desabilitado","No deshabilitado"
"Not enabled","Non activé","Nicht aktiviert","Não habilitado","No habilitado"
"Not found","Introuvable","Nicht gefunden","Não encontrado","No encontrado"
"Not inactive","Non inactif","Nicht inaktiv","Não inativo","No inactivo"
"Not locked","Déverrouillé","Nicht gesperrt","Não está bloqueado","No bloqueado"
"Not offline","En ligne","Nicht offline","Não está offline","En línea"
"Not online","Hors ligne","Nicht online","Não está online","No en línea"
"Not open","Fermé","Nicht offen","Não está aberto","Cerrado"
"Not reachable","Inaccessible","Nicht erreichbar","Inacessível","Inalcanzable"
"Not ready","Pas prêt","Nicht bereit","Não está pronto","No está listo"
"Not responding","Ne répond pas","Antwortet nicht","Não está respondendo","No responde"
"Not set","Non défini","Nicht gesetzt","Não definido","No establecido"
"Not supported","Non pris en charge","Nicht unterstützt","Não suportado","No compatible"
"Not unlocked","Non déverrouillé","Nicht entsperrt","Não está desbloqueado","No desbloqueado"
"Note","Note","Hinweis","Nota","Nota"
"Note of the server","Note du serveur","Notiz des Servers","Nota do servidor","Nota del servidor"
"Notes about this server","Notes sur ce serveur","Notizen zu diesem Server","Notas sobre este servidor","Notas sobre este servidor"
"Notification archived successfully","Notification archivée avec succès","Benachrichtigung erfolgreich archiviert","Notificação arquivada com sucesso","Notificación archivada exitosamente"
"Notification channel updated","Canal de notification mis à jour","Benachrichtigungskanal aktualisiert","Canal de notificação atualizado","Canal de notificación actualizado"
"Notification Channels","Canaux de notification","Benachrichtigungskanäle","Canais de notificação","Canales de notificación"
"Notification configuration updated","Configuration de notification mise à jour","Benachrichtigungskonfiguration aktualisiert","Configuração de notificação atualizada","Configuración de notificación actualizada"
"Notification deleted successfully","Notification supprimée avec succès","Benachrichtigung erfolgreich gelöscht","Notificação excluída com sucesso","Notificación eliminada exitosamente"
"Notification delivered successfully","Notification livrée avec succès","Benachrichtigung erfolgreich zugestellt","Notificação entregue com sucesso","Notificación entregada exitosamente"
"Notification event","Événement de notification","Benachrichtigungsereignis","Evento de notificação","Evento de notificación"
"Notification Events","Événements de notification","Benachrichtigungsereignisse","Eventos de notificação","Eventos de notificación"
"Notification failed to send","Échec de l'envoi de la notification","Benachrichtigung konnte nicht gesendet werden","Falha ao enviar notificação","Falló enviar notificación"
"Notification freq","Fréq. notifications","Benachrichtigungsfreq","Freq. notificações","Frec. notificaciones"
"Notification frequency","Fréquence des notifications","Benachrichtigungshäufigkeit","Frequência de notificações","Frecuencia de notificaciones"
"Notification frequency updated.","Fréquence des notifications mise à jour.","Benachrichtigungshäufigkeit aktualisiert.","Frequência de notificações atualizada.","Frecuencia de notificaciones actualizada."
"Notification marked as read","Notification marquée comme lue","Benachrichtigung als gelesen markiert","Notificação marcada como lida","Notificación marcada como leída"
"Notification marked as unread","Notification marquée comme non lue","Benachrichtigung als ungelesen markiert","Notificação marcada como não lida","Notificación marcada como no leída"
"Notification preferences updated","Préférences de notification mises à jour","Benachrichtigungseinstellungen aktualisiert","Preferências de notificação atualizadas","Preferencias de notificación actualizadas"
"Notification processed successfully","Notification traitée avec succès","Benachrichtigung erfolgreich verarbeitet","Notificação processada com sucesso","Notificación procesada exitosamente"
"Notification queued for delivery","Notification mise en file d'attente pour livraison","Benachrichtigung für Zustellung in Warteschlange gestellt","Notificação enfileirada para entrega","Notificación puesta en cola para entrega"
"Notification sent successfully","Notification envoyée avec succès","Benachrichtigung erfolgreich gesendet","Notificação enviada com sucesso","Notificación enviada exitosamente"
"Notification Settings","Paramètres de notification","Benachrichtigungseinstellungen","Configurações de Notificação","Configuración de notificaciones"
"Notification settings updated","Paramètres de notification mis à jour","Benachrichtigungseinstellungen aktualisiert","Configurações de notificação atualizadas","Configuración de notificación actualizada"
"Notification subscription created","Abonnement de notification créé","Benachrichtigungsabonnement erstellt","Inscrição de notificação criada","Suscripción de notificación creada"
"Notification subscription deleted","Abonnement de notification supprimé","Benachrichtigungsabonnement gelöscht","Inscrição de notificação excluída","Suscripción de notificación eliminada"
"Notification subscription updated","Abonnement de notification mis à jour","Benachrichtigungsabonnement aktualisiert","Inscrição de notificação atualizada","Suscripción de notificación actualizada"
"Notification template updated","Modèle de notification mis à jour","Benachrichtigungsvorlage aktualisiert","Modelo de notificação atualizado","Plantilla de notificación actualizada"
"Notification Templates","Modèles de notification","Benachrichtigungsvorlagen","Modelos de notificação","Plantillas de notificación"
"Notifications","Notifications","Benachrichtigungen","Notificações","Notificaciones"
"Now","Maintenant","Jetzt","Agora","Ahora"
"NTFY","NTFY","NTFY","NTFY","NTFY"
"NTFY (disabled)","NTFY (désactivé)","NTFY (deaktiviert)","NTFY (desativado)","NTFY (desactivado)"
